YEAR;QUARTER;UNEMP1;UNEMP2;UNEMP3;UNEMP4;UNEMP5;UNEMP6;UNEMPA;UNEMPB;UNEMPC;UNEMPD
1968;4;3.60;3.62;3.84;4.02;3.99;3.94;#N/A;#N/A;#N/A;#N/A
1969;1;3.40;3.57;3.77;3.85;3.86;#N/A;#N/A;#N/A;#N/A;#N/A
1969;2;3.30;3.46;3.64;3.82;3.91;#N/A;#N/A;#N/A;#N/A;#N/A
1969;3;3.50;3.64;3.82;3.93;3.99;#N/A;#N/A;#N/A;#N/A;#N/A
1969;4;3.71;3.84;4.15;4.41;4.40;4.35;#N/A;#N/A;#N/A;#N/A
1970;1;3.60;4.03;4.36;4.41;4.33;#N/A;#N/A;#N/A;#N/A;#N/A
1970;2;4.21;4.64;4.75;4.73;4.65;4.51;#N/A;#N/A;#N/A;#N/A
1970;3;4.81;5.06;5.13;5.06;4.92;4.78;#N/A;#N/A;#N/A;#N/A
1970;4;5.23;5.68;5.71;5.59;5.52;5.37;#N/A;#N/A;#N/A;#N/A
1971;1;5.83;5.97;5.83;5.76;5.62;5.43;#N/A;#N/A;#N/A;#N/A
1971;2;5.92;5.91;5.82;5.71;5.53;5.35;#N/A;#N/A;#N/A;#N/A
1971;3;5.97;5.85;5.67;5.49;5.31;5.15;#N/A;#N/A;#N/A;#N/A
1971;4;5.99;5.89;5.77;5.61;5.45;5.28;#N/A;#N/A;#N/A;#N/A
1972;1;5.99;5.85;5.70;5.52;5.36;5.26;#N/A;#N/A;#N/A;#N/A
1972;2;5.81;5.72;5.55;5.39;5.27;5.19;#N/A;#N/A;#N/A;#N/A
1972;3;5.79;5.56;5.40;5.28;5.18;5.11;#N/A;#N/A;#N/A;#N/A
1972;4;5.51;5.35;5.22;5.08;5.01;4.93;#N/A;#N/A;#N/A;#N/A
1973;1;5.28;5.06;4.94;4.87;4.83;4.84;#N/A;#N/A;#N/A;#N/A
1973;2;5.00;4.90;4.82;4.81;4.87;4.95;#N/A;#N/A;#N/A;#N/A
1973;3;4.77;4.79;4.92;5.06;5.14;5.17;#N/A;#N/A;#N/A;#N/A
1973;4;4.79;4.78;5.18;5.52;5.71;5.76;#N/A;#N/A;#N/A;#N/A
1974;1;4.72;5.29;5.66;5.85;5.88;5.81;#N/A;#N/A;#N/A;#N/A
1974;2;5.20;5.39;5.62;5.70;5.63;5.55;#N/A;#N/A;#N/A;#N/A
1974;3;5.13;5.41;5.67;5.82;5.84;#N/A;#N/A;#N/A;#N/A;#N/A
1974;4;5.51;6.37;6.92;7.19;7.18;6.99;#N/A;#N/A;#N/A;#N/A
1975;1;6.52;8.04;8.33;8.29;8.11;7.95;#N/A;#N/A;#N/A;#N/A
1975;2;8.41;9.01;9.05;8.82;8.57;8.29;#N/A;#N/A;#N/A;#N/A
1975;3;8.89;8.71;8.58;8.39;8.12;7.85;#N/A;#N/A;#N/A;#N/A
1975;4;8.40;8.34;8.15;7.95;7.73;7.53;#N/A;#N/A;#N/A;#N/A
1976;1;8.41;7.94;7.75;7.56;7.38;7.21;#N/A;#N/A;#N/A;#N/A
1976;2;7.60;7.41;7.24;7.04;6.87;6.70;#N/A;#N/A;#N/A;#N/A
1976;3;7.40;7.35;7.11;6.91;6.74;6.61;#N/A;#N/A;#N/A;#N/A
1976;4;7.80;7.72;7.54;7.35;7.18;7.03;#N/A;#N/A;#N/A;#N/A
1977;1;7.95;7.84;7.58;7.34;7.19;7.06;#N/A;#N/A;#N/A;#N/A
1977;2;7.40;7.12;7.01;6.90;6.80;6.68;#N/A;#N/A;#N/A;#N/A
1977;3;7.01;6.94;6.85;6.77;6.66;6.62;#N/A;#N/A;#N/A;#N/A
1977;4;7.00;6.96;6.89;6.83;6.79;6.74;#N/A;#N/A;#N/A;#N/A
1978;1;6.71;6.50;6.43;6.36;6.31;6.28;#N/A;#N/A;#N/A;#N/A
1978;2;6.20;6.08;6.03;6.03;6.11;6.13;#N/A;#N/A;#N/A;#N/A
1978;3;5.90;6.07;6.07;6.12;6.19;6.33;#N/A;#N/A;#N/A;#N/A
1978;4;6.00;5.98;6.11;6.27;6.51;6.65;#N/A;#N/A;#N/A;#N/A
1979;1;5.82;5.93;6.07;6.34;6.61;6.74;#N/A;#N/A;#N/A;#N/A
1979;2;5.72;5.90;6.17;6.43;6.66;6.78;#N/A;#N/A;#N/A;#N/A
1979;3;5.71;6.04;6.52;6.93;7.12;7.14;#N/A;#N/A;#N/A;#N/A
1979;4;5.81;6.22;6.79;7.24;7.36;7.27;#N/A;#N/A;#N/A;#N/A
1980;1;5.91;6.26;6.63;6.99;7.19;7.29;#N/A;#N/A;#N/A;#N/A
1980;2;6.11;7.08;7.57;7.86;7.99;7.93;#N/A;#N/A;#N/A;#N/A
1980;3;7.50;8.00;8.34;8.47;8.31;8.08;#N/A;#N/A;#N/A;#N/A
